,singer,genre,content,likes,sentiment,release_filled,release_rank,year,scaled_likes,feature
19131,재규어 중사 (SFC.JGR),R&B/Soul,팽팽한 줄이 끊어지듯,4847,stress,2015-09-11,0.3489941568382242,2015,0.01902843862376533,0.36802259546198957
19132,팔로알토 (Paloalto),"랩/힙합, 인디음악",감기,2097,stress,2014-09-23,0.3097738200478665,2014,0.006321996750065572,0.3160958167979321
19133,Twenty One Pilots,"POP, 록/메탈",Cancer,7247,stress,2016-09-16,0.4143685719830096,2016,0.02545710020198472,0.4398256721849943
19134,테림 (TE RIM),"인디음악, 일렉트로니카",PARIS PARADIS,535,stress,2017-11-22,0.5172168438301818,2017,0.00096911336090325,0.5181859571910851
19135,2xxx,"R&B/Soul, 인디음악",Dawn (Feat. Rad Museum & punchnello),5790,stress,2018-07-02,0.5665279544621489,2018,0.01523247279069951,0.5817604272528484
19136,offonoff (오프온오프),일렉트로니카,Photograph,12707,stress,2017-07-24,0.48612518596778714,2017,0.023017800891584294,0.5091429868593714
19137,Livingston,POP,Fairytale,852,stress,2020-07-15,0.7935703658983593,2020,0.0019972900618409764,0.7955676559602003
19138,Gryffin,POP,Cry,3253,stress,2020-07-30,0.7983138920632183,2020,0.0076258034872872015,0.8059396955505056
19139,Kygo,일렉트로니카,Gone Are The Days (Feat. James Gillespie),719,stress,2021-04-16,0.8926885012613468,2021,0.002355384625464361,0.8950438858868112
19140,Lost Kings,POP,I Miss The Future (Feat. Jordan Shaw),870,stress,2021-05-28,0.9083852605705169,2021,0.002850048155986084,0.911235308726503
19141,픽셀 (FIXL),POP,You Know I'll Be Home,538,stress,2020-02-21,0.7474503546863883,2020,0.0012611995930404286,0.7487115542794287
19142,fiedlerski,POP,Time Is A River (Feat. James Harries),12,stress,2020-03-13,0.7544362750382717,2020,2.81308459414222e-05,0.7544644058842132
19143,Tritan,일렉트로니카,Hollow Life (Feat. Ratfoot) (NCS),85,stress,2019-12-17,0.7321201405808664,2019,0.00019739668605798816,0.7323175372669244
19144,Justin Bieber,POP,Lonely,30297,stress,2020-10-16,0.8217296621315683,2020,0.0710233532906057,0.892753015422174
19145,Johnny Orlando,POP,Phobias,3091,stress,2020-02-21,0.7474503546863883,2020,0.007246037067078002,0.7546963917534664
19146,DAIMONION,R&B/Soul,Storm,27,stress,2020-03-05,0.7514392289613835,2020,6.329440336819995e-05,0.7515025233647517
19147,Vigiland,일렉트로니카,We Don’t Talk Enough,186,stress,2020-02-28,0.7497789948036828,2020,0.0004360281120920441,0.7502150229157749
19148,Mitch James,POP,Be Somebody,356,stress,2021-04-30,0.8967420599840447,2021,0.0011662266017598228,0.8979082865858045
19149,Finding Hope,일렉트로니카,3:00 AM,17338,stress,2017-10-27,0.5091528493499213,2017,0.031406518600636535,0.5405593679505578
19150,Josh Tobias,일렉트로니카,Compass,102,stress,2020-03-13,0.7544362750382717,2020,0.0002391121905020887,0.7546753872287738
19151,Patrick Lite,일렉트로니카,I Love You (feat. Vitaly Gray),162,stress,2019-12-12,0.7302011686323553,2019,0.0003762148604869892,0.7305773834928423
19152,Lonely In The Rain,일렉트로니카,Traveling Alone (Feat. Sauvane),42,stress,2020-03-18,0.7560318247482698,2020,9.84579607949777e-05,0.7561302827090648
19153,Jerome,일렉트로니카,Only Go Higher,153,stress,2019-11-21,0.7216843830181764,2019,0.0003553140349043787,0.7220396970530808
19154,Midnight Kids,일렉트로니카,Run It (Last Island Remix) (feat. Annika Wells),75,stress,2020-03-06,0.751935143060437,2020,0.00017581778713388876,0.7521109608475709
19155,Eli,R&B/Soul,SAD,2393,stress,2020-03-13,0.7544362750382717,2020,0.005609759528151944,0.7600460345664236
19156,FAMES,록/메탈,Kiss / Tell,50,stress,2020-02-28,0.7497789948036828,2020,0.00011721185808925917,0.749896206661772
19157,Taska Black,일렉트로니카,Comedown,135,stress,2020-03-06,0.751935143060437,2020,0.0003164720168409998,0.752251615077278
19158,Gill Chang,일렉트로니카,Fade,257,stress,2020-02-04,0.7408956639858557,2020,0.0006024689505787921,0.7414981329364345
19159,Unlike Pluto,일렉트로니카,Life In a Hole,121,stress,2020-03-06,0.751935143060437,2020,0.0002836526965760072,0.752218795757013
19160,SonReal,랩/힙합,Fearless,41,stress,2020-02-13,0.743612410789366,2020,9.611372363319252e-05,0.7437085245129992
19161,Joel,POP,So Blue,55,stress,2020-01-31,0.7399685202354515,2020,0.00012893304389818508,0.7400974532793496
19162,Rence,POP,Type 2,367,stress,2020-03-13,0.7544362750382717,2020,0.0008603350383751623,0.7552966100766468
19163,Lauryn Evans,POP,Heartless / Heartless,26,stress,2020-02-25,0.7490459043963864,2020,6.0950166206414765e-05,0.7491068545625928
